,eqid,evla,evlo,evdp,sta,stla,stlo,dis,mag
73,20090522185021,21.609,102.116,10.000,SLVB,21.330,103.965,194.106249008,4.2
74,20090522185021,21.609,102.116,10.000,MCVB,20.833,104.648,276.54345854,4.2
75,20090522185021,21.609,102.116,10.000,TTVB,21.466,104.379,234.964328772,4.2
76,20090522185021,21.609,102.116,10.000,TGVB,21.592,103.418,134.833373832,4.2
77,20090528084145,21.565,101.751,18.300,SLVB,21.330,103.965,230.965566787,3.7
78,20090528084145,21.565,101.751,18.300,TTVB,21.466,104.379,272.50234782,3.7
79,20090528084145,21.565,101.751,18.300,SPVB,22.394,103.842,234.648166995,3.7
80,20090528084145,21.565,101.751,18.300,TGVB,21.592,103.418,172.667100096,3.7
81,20090528084145,21.565,101.751,18.300,DBVB,21.390,103.018,132.72852817,3.7
82,20090819022524,22.402,102.485,7.000,VTVB,22.252,104.899,249.250610641,3.7
83,20090819022524,22.402,102.485,7.000,MCVB,20.833,104.648,283.42471614,3.7
84,20090819022524,22.402,102.485,7.000,DHVB,21.627,105.184,291.583695646,3.7
85,20090819022524,22.402,102.485,7.000,DBVB,21.390,103.018,124.861784729,3.7
86,20090819022524,22.402,102.485,7.000,SPVB,22.394,103.842,139.734697989,3.7
87,20090819022524,22.402,102.485,7.000,TGVB,21.592,103.418,131.631239854,3.7
88,20090819022524,22.402,102.485,7.000,SLVB,21.330,103.965,193.620488163,3.7
89,20090819022524,22.402,102.485,7.000,TTVB,21.466,104.379,221.41900196,3.7
90,20091005165308,22.211,101.867,10.000,TTVB,21.466,104.379,272.469343292,4.1
91,20091005165308,22.211,101.867,10.000,SPVB,22.394,103.842,204.512246104,4.1
92,20091005165308,22.211,101.867,10.000,DBVB,21.390,103.018,149.764970439,4.1
93,20091005165308,22.211,101.867,10.000,TGVB,21.592,103.418,174.30941172,4.1
94,20091005165308,22.211,101.867,10.000,SLVB,21.330,103.965,237.905579265,4.1
95,20091014015836,20.786,101.943,10.000,MCVB,20.833,104.648,281.639995465,4.0
96,20091014015836,20.786,101.943,10.000,SLVB,21.330,103.965,218.605421934,4.0
97,20091014015836,20.786,101.943,10.000,TTVB,21.466,104.379,264.016612795,4.0
98,20091014015836,20.786,101.943,10.000,TGVB,21.592,103.418,177.261876931,4.0
99,20091014015836,20.786,101.943,10.000,DBVB,21.390,103.018,130.189653056,4.0
100,20091014015836,20.786,101.943,10.000,SPVB,22.394,103.842,265.270811676,4.0
101,20091102202753,20.777,101.976,20.900,TGVB,21.592,103.418,174.825787216,3.5
102,20091102202753,20.777,101.976,20.900,SLVB,21.330,103.965,215.597412822,3.5
103,20091102202753,20.777,101.976,20.900,SPVB,22.394,103.842,263.428265198,3.5
104,20091102202753,20.777,101.976,20.900,TTVB,21.466,104.379,261.029394809,3.5
105,20091102202753,20.777,101.976,20.900,MCVB,20.833,104.648,278.234019747,3.5
106,20091110073653,20.728,101.961,10.000,TGVB,21.592,103.418,179.022082744,4.0
107,20091110073653,20.728,101.961,10.000,MCVB,20.833,104.648,280.012990164,4.0
108,20091110073653,20.728,101.961,10.000,SPVB,22.394,103.842,268.294081689,4.0
109,20091110073653,20.728,101.961,10.000,SLVB,21.330,103.965,218.716840309,4.0
110,20091110073653,20.728,101.961,10.000,TTVB,21.466,104.379,264.186342515,4.0
111,20091126044700,21.261,104.181,1.000,SPVB,22.394,103.842,130.258254232,4.0
112,20091126044700,21.261,104.181,1.000,VTVB,22.252,104.899,132.50026509,4.0
113,20091126044700,21.261,104.181,1.000,SLVB,21.330,103.965,23.6793770664,4.0
